polygon_id,area_ha,road_distance_m,village_distance_m,waterway_distance_m,protected_area,vulnerability_score,disturbance_score,risk_score,risk_class,reforestation_suitability,reforestation_priority
0,0.3926474901457353,8472.268694468336,5592.975771395788,138.7003313134156,True,0.4192296152779271,0.0073655547786393,0.3132975850282832,Low,Suitable,Low
1,0.274853999167187,8355.884549838609,5694.516806630882,179.53392761776794,True,0.420455161153809,0.004317546863782,0.3123863540087955,Low,Suitable,Low
2,0.1374303916418265,7940.151346063698,7592.514577392178,2249.409452028964,True,0.3285719131048403,0.0007615927958121,0.2646667529503262,Low,Moderately Suitable,Low
3,0.1276145499739013,7716.154635960695,7818.648073287305,2467.614574898745,True,0.3265512459957249,0.0005075994482487,0.2635294227219869,Low,Moderately Suitable,Low
4,2.8271565580055658,7693.407987159134,7821.020561091329,2390.676812667293,True,0.3294156395111689,0.0703605712773011,0.299888105394235,Low,Moderately Suitable,Low
5,4.30946833597964,7428.244631643682,8120.36142408153,2689.1943119781204,True,0.3250259868420693,0.1087166637406272,0.3168713252913482,Low,Moderately Suitable,Low
6,0.225788386297587,6076.873706874967,9384.998888086904,2829.7685616824065,True,0.3445861648713642,0.0030479319204478,0.273817048395906,Low,Moderately Suitable,Low
7,2.140146565948395,4441.573981512887,10435.918323298383,4228.658063898236,True,0.3539172674450794,0.0525835967095157,0.3032504320772976,Low,Moderately Suitable,Low
8,0.3730543701990609,4350.560673701283,10212.893113448969,4179.08352178988,True,0.3666184873738826,0.0068585659443828,0.2867385266591327,Low,Moderately Suitable,Low
9,0.5497685778053778,3964.056402945636,10192.609836359174,3789.2588961576826,True,0.3949817415983555,0.0114311980904993,0.3032064698444274,Low,Moderately Suitable,Low
10,6.77391795204095,4006.344168904661,10420.660279688957,3760.448388590167,True,0.3863209628934666,0.1724864176813594,0.379403690287413,Low,Moderately Suitable,Low
11,0.9621019656159472,3628.218711196216,10137.379905237822,3449.189526240531,True,0.4208737671132799,0.0221006792236751,0.3214872231684775,Low,Moderately Suitable,Low
12,0.1668959591950637,3696.7473636839272,9528.771377451383,3726.667469404897,True,0.4305555773820643,0.0015240397049914,0.3160398085435278,Low,Moderately Suitable,Low
13,3.1808440725620537,3390.420369236632,10056.86283213924,3225.956409042371,True,0.4401181622694759,0.0795125399879551,0.3598153511287155,Low,Moderately Suitable,Low
14,0.1374494489032719,2079.422995875921,10938.421311336337,1137.495024864363,True,0.5242323883963672,0.0007620859188467,0.3624972371576069,Low,Moderately Suitable,Low
15,0.147260986701632,4149.824931168081,8405.358549382117,2841.955286629581,True,0.4669057209417522,0.0010159679000825,0.3339608444209174,Low,Moderately Suitable,Low
